;data;ora (UTC);valore;flag validazione;casta_mm;casta_flag
193;2018-11-09;02:00;10.4;0;0.0;Z
194;2018-11-09;03:00;10.4;0;0.0;Z
195;2018-11-09;04:00;10.2;0;0.2;Z
196;2018-11-09;05:00;10.2;0;0.0;Z
197;2018-11-09;06:00;10.2;0;0.0;Z
198;2018-11-09;07:00;10.5;0;0.0;Z
199;2018-11-09;08:00;10.5;0;0.0;Z
200;2018-11-09;09:00;10.7;0;0.6;Z
201;2018-11-09;10:00;11.3;0;0.0;Z
202;2018-11-09;11:00;11.4;0;0.0;Z
203;2018-11-09;12:00;11.1;0;0.0;Z
204;2018-11-09;13:00;11.3;0;0.0;Z
205;2018-11-09;14:00;11.5;0;0.2;Z
206;2018-11-09;15:00;11.0;0;0.0;Z
207;2018-11-09;16:00;11.0;0;0.2;Z
208;2018-11-09;17:00;10.6;0;0.2;Z
209;2018-11-09;18:00;10.6;0;6.2;Z
210;2018-11-09;19:00;10.4;0;0.2;Z
211;2018-11-09;20:00;10.5;0;0.0;Z
212;2018-11-09;21:00;10.2;0;0.0;Z
213;2018-11-09;22:00;9.9;0;0.0;Z
214;2018-11-09;23:00;10.2;0;0.0;Z
215;2018-11-10;00:00;9.8;0;0.2;Z
216;2018-11-10;01:00;10.0;0;0.0;Z
217;2018-11-10;02:00;10.0;0;0.0;Z
218;2018-11-10;03:00;10.1;0;0.0;Z
219;2018-11-10;04:00;10.2;0;0.0;Z
220;2018-11-10;05:00;10.1;0;0.0;Z
221;2018-11-10;06:00;10.1;0;0.0;Z
222;2018-11-10;07:00;10.0;0;0.4;Z
223;2018-11-10;08:00;10.2;0;0.4;Z
224;2018-11-10;09:00;10.4;0;0.4;Z
225;2018-11-10;10:00;10.7;0;0.4;Z
226;2018-11-10;11:00;10.8;0;0.0;Z
227;2018-11-10;12:00;10.8;0;0.4;Z
228;2018-11-10;13:00;10.8;0;0.0;Z
229;2018-11-10;14:00;10.5;0;0.4;Z
230;2018-11-10;15:00;10.2;0;0.2;Z
231;2018-11-10;16:00;10.1;0;0.4;Z
232;2018-11-10;17:00;10.0;0;0.4;Z
233;2018-11-10;18:00;9.7;0;0.4;Z
234;2018-11-10;19:00;9.6;0;0.0;Z
235;2018-11-10;20:00;9.7;0;0.2;Z
236;2018-11-10;21:00;9.8;0;0.2;Z
237;2018-11-10;22:00;9.8;0;0.0;Z
238;2018-11-10;23:00;9.8;0;0.2;Z
239;2018-11-11;00:00;9.8;0;0.0;Z
240;2018-11-11;01:00;9.6;0;0.0;Z
241;2018-11-11;02:00;9.5;0;0.0;Z
242;2018-11-11;03:00;9.4;0;0.0;Z
243;2018-11-11;04:00;9.4;0;0.2;Z
